year,month,day,home,away,OT,hFinal,h1,h2,h3,h4,hOT1,hOT2,hOT3,aFinal,a1,a2,a3,a4,aOT1,aOT2,aOT3,hW,hL,hP,hGB,hPSG,hPAG,aW,aL,aP,aGB,aPSG,aPAG,dow,doy
1990,01,24,MIA,BOS,0,95,25,20,28,22,0,0,0,116,26,34,30,26,0,0,0,9,34,.209,18.5,98.4,110.1,24,15,.615,1.5,106.7,102.7,3,23
1990,01,24,LAL,IND,0,120,34,33,21,32,0,0,0,111,32,32,25,22,0,0,0,30,9,.769,0,109.7,101.1,22,18,.550,4.5,108.8,108.7,3,23
1990,01,24,ORL,PHI,0,103,24,14,34,31,0,0,0,125,37,24,33,31,0,0,0,11,29,.275,15.5,109.5,117.1,24,16,.600,2,107.0,103.1,3,23
1990,01,24,GSW,SAC,0,99,21,27,27,24,0,0,0,129,28,31,30,40,0,0,0,18,22,.450,12.5,114.7,118.7,11,27,.289,18.5,102.8,107.1,3,23
1990,01,24,LAC,SAS,0,98,25,28,20,25,0,0,0,106,29,27,31,19,0,0,0,18,21,.462,12,103.3,103.6,27,11,.711,0,105.2,101.9,3,23
1990,01,24,MIL,SEA,0,119,36,25,23,35,0,0,0,112,21,28,33,30,0,0,0,24,17,.585,3,107.3,106.0,18,20,.474,11.5,108.6,106.5,3,23
1990,01,25,PHO,CHH,0,124,38,26,33,27,0,0,0,97,27,25,24,21,0,0,0,24,14,.632,5.5,113.8,105.8,8,31,.205,20,98.5,107.5,4,24
1990,01,25,LAC,HOU,0,101,22,21,27,31,0,0,0,102,30,24,23,25,0,0,0,18,22,.450,12.5,103.3,103.6,20,21,.488,9,104.2,103.3,4,24
1990,01,25,ORL,NJN,0,117,32,24,34,27,0,0,0,112,29,28,31,24,0,0,0,12,29,.293,15,109.6,117.0,12,28,.300,13.5,96.3,102.5,4,24
1990,01,25,NYK,UTA,0,89,24,13,29,23,0,0,0,115,28,26,25,36,0,0,0,26,15,.634,0,109.8,107.5,28,11,.718,0,106.9,101.3,4,24
1990,01,25,BOS,WSB,0,98,24,28,26,20,0,0,0,99,25,33,18,23,0,0,0,24,16,.600,1.5,106.5,102.6,15,27,.357,11.5,105.1,108.0,4,24
1990,01,26,SAC,DAL,0,93,26,23,18,26,0,0,0,106,27,23,26,30,0,0,0,11,28,.282,19.5,102.5,107.0,21,20,.512,8,101.9,102.0,5,25
1990,01,26,PHO,DET,0,103,24,35,22,22,0,0,0,107,31,25,29,22,0,0,0,24,15,.615,6.5,113.6,105.8,28,14,.667,0,103.0,98.4,5,25
1990,01,26,SEA,GSW,0,102,36,24,22,20,0,0,0,114,26,28,26,34,0,0,0,18,21,.462,12.5,108.5,106.7,19,22,.463,12.5,114.6,118.2,5,25
1990,01,26,MIA,IND,0,105,20,25,26,34,0,0,0,115,35,22,31,27,0,0,0,9,35,.205,18.5,98.6,110.2,23,18,.561,4.5,108.9,108.6,5,25
1990,01,26,MIL,LAL,0,91,23,24,23,21,0,0,0,100,32,13,31,24,0,0,0,24,18,.571,4,106.9,105.9,31,9,.775,0,109.4,100.9,5,25
1990,01,26,CLE,MIN,0,85,20,24,21,20,0,0,0,84,24,19,21,20,0,0,0,17,23,.425,10,98.8,102.5,7,32,.179,21,94.2,100.1,5,25
1990,01,26,CHI,PHI,0,109,33,18,34,24,0,0,0,120,33,37,23,27,0,0,0,26,15,.634,1.5,108.8,105.8,25,16,.610,1,107.3,103.2,5,25
1990,01,26,SAS,POR,0,103,33,25,24,21,0,0,0,109,26,23,31,29,0,0,0,27,12,.692,1,105.1,102.1,29,11,.725,2,110.8,105.1,5,25
1990,01,27,SAC,CHH,0,92,23,21,30,18,0,0,0,85,26,23,20,16,0,0,0,12,28,.300,19,102.3,106.5,8,32,.200,21,98.2,107.1,6,26
1990,01,27,NJN,CHI,0,107,22,20,30,35,0,0,0,110,23,34,24,29,0,0,0,12,29,.293,14.5,96.5,102.7,27,15,.643,1.5,108.8,105.8,6,26
1990,01,27,NYK,DEN,0,110,29,24,27,30,0,0,0,96,26,20,26,24,0,0,0,27,15,.643,0,109.8,107.2,23,19,.548,7,115.3,112.7,6,26
1990,01,27,DAL,HOU,0,99,26,24,21,28,0,0,0,92,25,22,21,24,0,0,0,22,20,.524,8,101.8,101.7,20,22,.476,10,103.9,103.2,6,26
1990,01,27,CLE,IND,0,91,13,29,17,32,0,0,0,84,16,21,23,24,0,0,0,18,23,.439,10,98.6,102.0,23,19,.548,5.5,108.3,108.2,6,26
1990,01,27,POR,LAC,0,118,33,31,29,25,0,0,0,115,20,39,27,29,0,0,0,30,11,.732,1.5,111.0,105.3,18,23,.439,13.5,103.5,104.0,6,26
1990,01,27,DET,MIN,0,85,28,16,27,14,0,0,0,83,16,30,22,15,0,0,0,29,14,.674,0,102.6,98.0,7,33,.175,22,93.9,99.8,6,26
1990,01,27,ATL,ORL,0,114,26,32,25,31,0,0,0,96,28,20,24,24,0,0,0,21,18,.538,6,107.3,106.1,12,30,.286,16.5,109.3,116.9,6,26
1990,01,27,WSB,PHI,0,101,35,20,18,28,0,0,0,125,28,32,30,35,0,0,0,15,28,.349,12.5,105.0,108.4,26,16,.619,1,107.7,103.2,6,26
1990,01,27,SAS,SEA,0,98,30,26,24,18,0,0,0,109,27,25,33,24,0,0,0,27,13,.675,2,105.0,102.3,19,21,.475,12,108.5,106.5,6,26
1990,01,27,MIL,UTA,0,96,19,26,28,23,0,0,0,144,31,30,35,48,0,0,0,24,19,.558,5,106.7,106.8,29,11,.725,0,107.8,101.2,6,26
1990,01,28,PHO,BOS,0,118,35,24,31,28,0,0,0,126,30,33,35,28,0,0,0,24,16,.600,7,113.7,106.3,25,16,.610,1.5,107.0,103.0,7,27
1990,01,29,ATL,CHI,0,111,15,33,29,34,0,0,0,121,35,25,34,27,0,0,0,21,19,.525,6.5,107.4,106.4,28,15,.651,1,109.1,106.0,1,28
1990,01,29,NJN,DAL,0,88,28,22,21,17,0,0,0,108,26,27,25,30,0,0,0,12,30,.286,15,96.3,102.8,23,20,.535,7.5,102.0,101.4,1,28
1990,01,29,SAS,LAL,0,86,21,24,18,23,0,0,0,84,20,19,25,20,0,0,0,28,13,.683,1.5,104.5,101.8,31,10,.756,0,108.8,100.5,1,28
1990,01,29,SAC,MIN,0,91,22,25,19,25,0,0,0,109,21,28,24,36,0,0,0,12,29,.293,19,102.0,106.5,8,33,.195,21.5,94.2,99.5,1,28
1990,01,30,DET,ATL,0,112,31,21,31,29,0,0,0,95,19,21,20,35,0,0,0,30,14,.682,0,102.8,98.0,21,20,.512,7.5,107.1,106.6,2,29
1990,01,30,LAL,LAC,0,104,30,32,24,18,0,0,0,121,38,33,27,23,0,0,0,31,11,.738,0,108.7,101.0,19,23,.452,12,104.0,104.0,2,29
1990,01,30,CLE,MIA,0,106,25,21,30,30,0,0,0,94,24,23,30,17,0,0,0,19,23,.452,10,98.7,101.8,9,36,.200,19.5,98.5,110.1,2,29
